"Episode","Title","Restaurant","Location","Original Air Date"
5,"Only At This Joint","Donnie Mac’s Trailer Park Cuisine","Boise, Idaho","August 31, 2009"
5,"Only At This Joint","Whale’s Rib","Deerfield Beach, Florida","August 31, 2009"
6,"You Picked ‘Em","Eischen’s Bar & Grill","Okarche, Oklahoma","September 7, 2009"
6,"You Picked ‘Em","Mom’s Tamales","Los Angeles, California","September 7, 2009"
6,"You Picked ‘Em","Kenny & Ziggy’s","Houston, Texas","September 7, 2009"
7,"You Can Say That Again","Tap Tap Haitian Restaurant","Miami Beach, Florida","October 5, 2009"
7,"You Can Say That Again","Pok Pok","Portland, Oregon","October 5, 2009"
7,"You Can Say That Again","Niko Niko’s","Houston, Texas","October 5, 2009"
8,"Barbequed, Baked & Brined","Honky Tonk BBQ","Chicago, Illinois","October 12, 2009"
8,"Barbequed, Baked & Brined","Pizzalchik","Boise, Idaho","October 12, 2009"
8,"Barbequed, Baked & Brined","Lucky’s Café","Cleveland, Ohio","October 12, 2009"
9,"Blast from the Past","Cattlemen's Steakhouse","Oklahoma City, Oklahoma","October 19, 2009"
9,"Blast from the Past","Sam LaGrassa's","Boston, Massachusetts","October 19, 2009"
9,"Blast from the Past","Nickel Diner","Los Angeles, California","October 19, 2009"
10,"Dives Worth a Drive","Parkview Nightclub","Cleveland, Ohio","October 26, 2009"
10,"Dives Worth a Drive","The Shanty","Wadsworth, Illinois","October 26, 2009"
10,"Dives Worth a Drive","Grover’s Bar & Grill","East Amherst, New York","October 26, 2009"
11,"Family Style","Louis Family Restaurant","Providence, Rhode Island","November 2, 2009"
11,"Family Style","Café Pita+","Houston, Texas","November 2, 2009"
11,"Family Style","Mambos Café","Glendale, California","November 2, 2009"
12,"Diners Times Three","The Little Depot Diner","Peabody, Massachusetts","November 9, 2009"
12,"Diners Times Three","Santa Cruz Diner","Santa Cruz, California","November 9, 2009"
12,"Diners Times Three","The Diner","Norman, Oklahoma","November 9, 2009"
13,"Legacies","Lake Effect Diner","Buffalo, New York","November 16, 2009"
13,"Legacies","Geraci’s Restaurant","Cleveland, Ohio","November 16, 2009"
13,"Legacies","Morin’s Hometown Bar & Grill","Attleboro, Massachusetts","November 16, 2009"
1,"Burgers, Steaks & Chops","Mr. Bartley’s Gourmet Burgers","Cambridge, Massachusetts","November 23, 2009"
1,"Burgers, Steaks & Chops","T-Bone Tom’s Steakhouse","Kemah, Texas","November 23, 2009"
1,"Burgers, Steaks & Chops","Tee Off Bar & Grill","San Francisco, California","November 23, 2009"
2,"Pizza, Pork & Paprikash","Pizza Junction","North Tonawanda, New York","January 11, 2010"
2,"Pizza, Pork & Paprikash","Sterle’s Slovenian Country House","Cleveland, Ohio","January 11, 2010"
2,"Pizza, Pork & Paprikash","Q Restaurant","San Francisco, California","January 11, 2010"
3,"Stacked, Stuffed & Loaded","Bob’s Taco Station","Rosenberg, Texas","January 18, 2010"
3,"Stacked, Stuffed & Loaded","Crazy Burger Café & Juice Bar","Narragansett, Rhode Island","January 18, 2010"
3,"Stacked, Stuffed & Loaded","The Oinkster","Eagle Rock, California","January 18, 2010"
4,"Triple D Goes Tailgatin’","Rudy’s Can’t Fail Cafe","Emeryville, California","January 25, 2010"
4,"Triple D Goes Tailgatin’","900 Grayson Restaurant","Berkeley, California","January 25, 2010"
4,"Triple D Goes Tailgatin’","Rick & Ann’s Restaurant","Berkeley, California","January 25, 2010"
5,"Home And Away","Taste of Peru","Chicago, Illinois","February 1, 2010"
5,"Home And Away","Ingrid’s Kitchen","Oklahoma City, Oklahoma","February 1, 2010"
5,"Home And Away","Blackthorn Restaurant & Pub","Buffalo, New York","February 1, 2010"
6,"By Request","South 21 Drive-In","Charlotte, North Carolina","February 8, 2010"
6,"By Request","Red Lion Pub & Restaurant","Houston, Texas","February 8, 2010"
6,"By Request","Melt Bar & Grilled","Lakewood, Ohio","February 8, 2010"
7,"And The Kicker Is...","Pawley’s Front Porch","Columbia, South Carolina","February 15, 2010"
7,"And The Kicker Is...","Sophia Restaurant","Buffalo, New York","February 15, 2010"
7,"And The Kicker Is...","Bette’s Oceanview Diner","Berkeley, California","February 15, 2010"
8,"Comfort Food Classics","The Liberty Elm Diner","Providence, Rhode Island","February 22, 2010"
8,"Comfort Food Classics","Naglee Park Garage","San Jose, California","February 22, 2010"
8,"Comfort Food Classics","Dish","Charlotte, North Carolina","February 22, 2010"
9,"Twists And Traditions","Earl’s Drive-In","Chaffee, New York","March 22, 2010"
9,"Twists And Traditions","Aldo’s Harbor Restaurant","Santa Cruz, California","March 22, 2010"
9,"Twists And Traditions","Momocho","Cleveland, Ohio","March 22, 2010"
10,"Fresh And Funky","Dish Café & Catering","Reno, Nevada","March 29, 2010"
10,"Fresh And Funky","Landmark Restaurant","Charlotte, North Carolina","March 29, 2010"
10,"Fresh And Funky","Pier 23 Café","San Francisco, California","March 29, 2010"
11,"Triple D Goes Hawaiian","Highway Inn & Ho’okipa Catering","Waipahu, Hawaii","April 5, 2010"
11,"Triple D Goes Hawaiian","Hank’s Haute Dogs","Honolulu, Hawaii","April 5, 2010"
11,"Triple D Goes Hawaiian","Nico’s Pier 38","Honolulu, Hawaii","April 5, 2010"
11,"Triple D Goes Hawaiian","Germaine’s Luau","Kapolei, Hawaii","April 5, 2010"
1,"Surf ‘n Turf","North End Café","Manhattan Beach, California","April 27, 2010"
1,"Surf ‘n Turf","Gold ‘N Silver Inn","Reno, Nevada","April 27, 2010"
1,"Surf ‘n Turf","Singleton’s Seafood Shack","Atlantic Beach, Florida","April 27, 2010"
2,"Homegrown & Homemade","The Farmer’s Shed","Lexington, South Carolina","May 3, 2010"
2,"Homegrown & Homemade","Poke Stop at Mililana Mauka Llc.","Mililani, Hawaii","May 3, 2010"
2,"Homegrown & Homemade","Mulberry Café","Lackawanna, New York","May 3, 2010"
3,"Globetrottin’","Louis’ Basque Corner","Reno, Nevada","May 10, 2010"
3,"Globetrottin’","13 Gypsies","Jacksonville, Florida","May 10, 2010"
3,"Globetrottin’","Gloria’s Café","Los Angeles, California","May 10, 2010"
4,"Bringin’ It Home","Café Citti","Kenwood, California","May 17, 2010"
4,"Bringin’ It Home","Cabo Fish Taco","Charlotte, North Carolina","May 17, 2010"
4,"Bringin’ It Home","Murphy’s Bar & Grill","Honolulu, Hawaii","May 17, 2010"
5,"Porkapalooza","At Last Café","Long Beach, California","May 24, 2010"
